source_file_id,issuer_folder_ticker,issuer_expected_name,issuer_assignment_status,issuer_assignment_evidence,source_drive_file_id,source_drive_parent_id,source_path_raw,source_folder_year_raw,source_filename_raw,mime_type,file_size_bytes,created_time_raw,modified_time_raw,source_url,sha256,hash_status,binary_duplicate_group_id,version_relation_status,version_of_source_file_id,supersedes_source_file_id,period_label_filename_raw,economic_period_status,period_start,period_end,period_type_raw,document_type_status,document_type_raw,pdf_text_layer_status,page_count,metadata_title_raw,metadata_author_raw,metadata_mismatch_status,first_seen_at,last_seen_at,source_status,notes
DRIVE:1W566XYKk9gsA4E1fY-TEnqAjh15zVtNf,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1W566XYKk9gsA4E1fY-TEnqAjh15zVtNf,1IO0cJozS3G_QrjcZL0BpQDMluGRfm1as,Coris Bank International - CBIBF/2022/2022_Rapport_CAC_Annuel_CBIBF.pdf,2022,2022_Rapport_CAC_Annuel_CBIBF.pdf,application/pdf,7443322,2026-08-09T06:37:13.226Z,2026-03-23T20:05:23Z,https://drive.google.com/file/d/1W566XYKk9gsA4E1fY-TEnqAjh15zVtNf,df2140845cd5a7229702e7e2635a17ab58f0c180b471f178bac7c01aea361461,COMPUTED,,NOT_REVIEWED,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,AUDIT_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1Fe0iCzusZHAdq0_KQanGSrtxgsfA6bsW,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1Fe0iCzusZHAdq0_KQanGSrtxgsfA6bsW,1IO0cJozS3G_QrjcZL0BpQDMluGRfm1as,Coris Bank International - CBIBF/2022/2022_Etats_Financiers_CBIBF.pdf,2022,2022_Etats_Financiers_CBIBF.pdf,application/pdf,2122991,2026-08-09T06:37:07.636Z,2026-03-23T20:05:20Z,https://drive.google.com/file/d/1Fe0iCzusZHAdq0_KQanGSrtxgsfA6bsW,36477a62b4f17fd78e941763b471f090835bc5fbdc0ed8484e65b226ceeaf938,COMPUTED,,NOT_REVIEWED,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,FINANCIAL_STATEMENTS,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1iJbeSPGr1Z5mTMn2L57rLLSzIy7BGhlz,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1iJbeSPGr1Z5mTMn2L57rLLSzIy7BGhlz,1IO0cJozS3G_QrjcZL0BpQDMluGRfm1as,Coris Bank International - CBIBF/2022/2022_Rapport_Annuel_CBIBF.pdf,2022,2022_Rapport_Annuel_CBIBF.pdf,application/pdf,1105907,2026-08-09T06:37:09.405Z,2026-03-23T20:05:18Z,https://drive.google.com/file/d/1iJbeSPGr1Z5mTMn2L57rLLSzIy7BGhlz,6a0df3627aa110a0d5c4d2e2c210f9861466c75ddb2c44cd9797a4b87ce75290,COMPUTED,,NOT_REVIEWED,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1PWClCqz7K7U21B6-HGnfG1shS76_Sm2k,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1PWClCqz7K7U21B6-HGnfG1shS76_Sm2k,1JFfbO1AsBXZtFiyw6_sy8rF5O1OiKnXN,Coris Bank International - CBIBF/2023/2023_Rapport_T1_CBIBF.pdf,2023,2023_Rapport_T1_CBIBF.pdf,application/pdf,733643,2026-08-09T02:26:20.431Z,2026-03-23T20:05:16Z,https://drive.google.com/file/d/1PWClCqz7K7U21B6-HGnfG1shS76_Sm2k,721cbfa9ce314ba29ec0de5700940a8a3baf1975c86fa9095df12e999d221d44,COMPUTED,,NOT_REVIEWED,,,2023_T1,FILENAME_ONLY,,,T1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1FVxOUkfkFa3i9mjJ4szu0KiKZmKqqIvc,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1FVxOUkfkFa3i9mjJ4szu0KiKZmKqqIvc,1JFfbO1AsBXZtFiyw6_sy8rF5O1OiKnXN,Coris Bank International - CBIBF/2023/2023_Rapport_S1_CBIBF.pdf,2023,2023_Rapport_S1_CBIBF.pdf,application/pdf,958949,2026-08-09T02:26:20.747Z,2026-03-23T20:05:15Z,https://drive.google.com/file/d/1FVxOUkfkFa3i9mjJ4szu0KiKZmKqqIvc,311e4e9ceba51565cad4be042e396b2b959e14d44f9f9c3ede7b497466388885,COMPUTED,,NOT_REVIEWED,,,2023_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:14dMZlRyYGbG1p2-Uvctzy49VP4mEiO22,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,14dMZlRyYGbG1p2-Uvctzy49VP4mEiO22,1JFfbO1AsBXZtFiyw6_sy8rF5O1OiKnXN,Coris Bank International - CBIBF/2023/2023_Rapport_T3_CBIBF.pdf,2023,2023_Rapport_T3_CBIBF.pdf,application/pdf,841469,2026-08-09T02:26:20.674Z,2026-03-23T20:05:13Z,https://drive.google.com/file/d/14dMZlRyYGbG1p2-Uvctzy49VP4mEiO22,cb0f504adec94358892fde31b426412a943d217af796b079db2e2fad789f7774,COMPUTED,,NOT_REVIEWED,,,2023_T3,FILENAME_ONLY,,,T3,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1J5cz9rTEj2SUzmPeFzkkK3Et-NlEgR2j,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1J5cz9rTEj2SUzmPeFzkkK3Et-NlEgR2j,1JFfbO1AsBXZtFiyw6_sy8rF5O1OiKnXN,Coris Bank International - CBIBF/2023/2023_Rapport_Annuel_CBIBF.pdf,2023,2023_Rapport_Annuel_CBIBF.pdf,application/pdf,1037307,2026-08-09T02:26:20.909Z,2026-03-23T20:05:12Z,https://drive.google.com/file/d/1J5cz9rTEj2SUzmPeFzkkK3Et-NlEgR2j,262a39220b0dac91112189911eeda05f57d447dabad4d4060eb3f3b501597c98,COMPUTED,,NOT_REVIEWED,,,2023,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1iNIiy3aP5AerErnhFcFoWRcAd4-pqcqm,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1iNIiy3aP5AerErnhFcFoWRcAd4-pqcqm,1GyHsxIxfognqxMuBRvsOTKZ2k0gjRV8m,Coris Bank International - CBIBF/2024/2024_Rapport_T1_CBIBF.pdf,2024,2024_Rapport_T1_CBIBF.pdf,application/pdf,779806,2026-08-09T02:26:15.557Z,2026-03-23T20:05:10Z,https://drive.google.com/file/d/1iNIiy3aP5AerErnhFcFoWRcAd4-pqcqm,8add145634191d491dded7b3dae9740b3a240eaf4b6353239565b0496a2b5c9e,COMPUTED,,NOT_REVIEWED,,,2024_T1,FILENAME_ONLY,,,T1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1vBV6P-Of3cz9ixJOLqnVUbTc0hzFpI4E,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1vBV6P-Of3cz9ixJOLqnVUbTc0hzFpI4E,1GyHsxIxfognqxMuBRvsOTKZ2k0gjRV8m,Coris Bank International - CBIBF/2024/2024_Rapport_S1_CBIBF.pdf,2024,2024_Rapport_S1_CBIBF.pdf,application/pdf,1549372,2026-08-09T06:36:59.071Z,2026-03-23T20:05:07Z,https://drive.google.com/file/d/1vBV6P-Of3cz9ixJOLqnVUbTc0hzFpI4E,8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,COMPUTED,SHA256:8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,EXACT_DUPLICATE,,,2024_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Exact duplicate bytes with sibling _2; primary physical source retained
DRIVE:1Lxz7zOe-02J79x3Z0UBe-e7Ed0udTOlB,CBIBF,Coris Bank International,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1Lxz7zOe-02J79x3Z0UBe-e7Ed0udTOlB,1GyHsxIxfognqxMuBRvsOTKZ2k0gjRV8m,Coris Bank International - CBIBF/2024/2024_Rapport_S1_CBIBF_2.pdf,2024,2024_Rapport_S1_CBIBF_2.pdf,application/pdf,1549372,2026-08-09T06:37:01.178Z,2026-03-23T20:05:09Z,https://drive.google.com/file/d/1Lxz7zOe-02J79x3Z0UBe-e7Ed0udTOlB,8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,COMPUTED,SHA256:8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,EXACT_DUPLICATE,,,2024_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,DUPLICATE_SOURCE,Exact duplicate bytes of 2024_Rapport_S1_CBIBF.pdf; source retained
