source_file_id,issuer_folder_ticker,issuer_expected_name,issuer_assignment_status,issuer_assignment_evidence,source_drive_file_id,source_drive_parent_id,source_path_raw,source_folder_year_raw,source_filename_raw,mime_type,file_size_bytes,created_time_raw,modified_time_raw,source_url,sha256,hash_status,binary_duplicate_group_id,version_relation_status,version_of_source_file_id,supersedes_source_file_id,period_label_filename_raw,economic_period_status,period_start,period_end,period_type_raw,document_type_status,document_type_raw,pdf_text_layer_status,page_count,metadata_title_raw,metadata_author_raw,metadata_mismatch_status,first_seen_at,last_seen_at,source_status,notes
DRIVE:1eoglw8zuU3Y5fMtpVxfqH6cu8P4jxGRi,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1eoglw8zuU3Y5fMtpVxfqH6cu8P4jxGRi,1IA3PejuqzmsCBGTmmJkv3Z8mYMtEjMnW,Orange Côte d'Ivoire - ORAC/2022/2022_Etats_Financiers_ORAC.pdf,2022,2022_Etats_Financiers_ORAC.pdf,application/pdf,331238,2026-08-09T02:25:32.977Z,2026-03-23T20:27:20Z,https://drive.google.com/file/d/1eoglw8zuU3Y5fMtpVxfqH6cu8P4jxGRi,e2a2eeb3db6fe2a94fe890d37021e1ad86355e839e22d1df16b2368573720691,COMPUTED,,NOT_REVIEWED,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,FINANCIAL_STATEMENTS,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1fViGeuJta0jKA95QrlcMrdYOh4wfOxmv,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1fViGeuJta0jKA95QrlcMrdYOh4wfOxmv,1IA3PejuqzmsCBGTmmJkv3Z8mYMtEjMnW,Orange Côte d'Ivoire - ORAC/2022/2022_Rapport_Annuel_ORAC.pdf,2022,2022_Rapport_Annuel_ORAC.pdf,application/pdf,5393977,2026-08-09T06:34:24.591Z,2026-03-23T20:27:18Z,https://drive.google.com/file/d/1fViGeuJta0jKA95QrlcMrdYOh4wfOxmv,73d78a0db6f33e51ea9dcf25ace4cacc0c49d35496217aee9ea115d5aa916de1,COMPUTED,,NOT_REVIEWED,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Newly seen during live refresh
DRIVE:16blSZKX8bVqfi-rIiZyDGRRnG0_zTd0f,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,16blSZKX8bVqfi-rIiZyDGRRnG0_zTd0f,1IA3PejuqzmsCBGTmmJkv3Z8mYMtEjMnW,Orange Côte d'Ivoire - ORAC/2022/2022_Rapport_Annuel_ORAC_rev.pdf,2022,2022_Rapport_Annuel_ORAC_rev.pdf,application/pdf,17456320,2026-08-09T06:34:40.034Z,2026-03-23T20:27:15Z,https://drive.google.com/file/d/16blSZKX8bVqfi-rIiZyDGRRnG0_zTd0f,6fc5a5749eec4ced6a4846184c9bb550f219651ead201ec8514f08b9dd1fdeca,COMPUTED,,REVISION_CANDIDATE,,,2022,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,"_rev candidate; SHA differs from plain annual; semantic supersession not yet proven"
DRIVE:1W192yjT6OeTJY3NOQSn4ivryqZsohzRg,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1W192yjT6OeTJY3NOQSn4ivryqZsohzRg,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/2023_Rapport_T1_ORAC.pdf,2023,2023_Rapport_T1_ORAC.pdf,application/pdf,247044,2026-08-09T02:25:33.549Z,2026-03-23T20:27:14Z,https://drive.google.com/file/d/1W192yjT6OeTJY3NOQSn4ivryqZsohzRg,cc25115e0124f1fc157ff0f8dbf4ff3d9b01fe8dad38f4db22c5bc541a133da9,COMPUTED,,NOT_REVIEWED,,,2023_T1,FILENAME_ONLY,,,T1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1UM3KHFV4eVL-VPlxN81xV9FWLMm9aOUI,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1UM3KHFV4eVL-VPlxN81xV9FWLMm9aOUI,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/2023_Rapport_T3_ORAC.pdf,2023,2023_Rapport_T3_ORAC.pdf,application/pdf,335326,2026-08-09T02:25:33.312Z,2026-03-23T20:27:12Z,https://drive.google.com/file/d/1UM3KHFV4eVL-VPlxN81xV9FWLMm9aOUI,4e8d52a2fbc0fc13b64813ffaa73f85a16c3359fe61fff6d632174f467191be8,COMPUTED,,NOT_REVIEWED,,,2023_T3,FILENAME_ONLY,,,T3,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:16Fo1gvqV-aBshgWy6UatrDat6h0EakTj,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,16Fo1gvqV-aBshgWy6UatrDat6h0EakTj,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/2023_Attestation_CAC_S1_ORAC.pdf,2023,2023_Attestation_CAC_S1_ORAC.pdf,application/pdf,524240,2026-08-09T02:25:33.898Z,2026-03-23T20:27:11Z,https://drive.google.com/file/d/16Fo1gvqV-aBshgWy6UatrDat6h0EakTj,22feabd2c31942879cb8bd3b4d5c9bbbbe479138f025f49b0610aaffad2c96d1,COMPUTED,,NOT_REVIEWED,,,2023_S1,FILENAME_ONLY,,,S1,FILENAME_CLASSIFIED,AUDIT_ATTESTATION,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
DRIVE:1CORNWU1PiD5k9N4w82snqZV2VH-0DUld,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1CORNWU1PiD5k9N4w82snqZV2VH-0DUld,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/resultats_financiers_consolides_2023_-_orange_ci.pdf,2023,resultats_financiers_consolides_2023_-_orange_ci.pdf,application/pdf,924646,2026-08-09T06:34:19.221Z,2026-03-23T20:27:10Z,https://drive.google.com/file/d/1CORNWU1PiD5k9N4w82snqZV2VH-0DUld,87666ebc525670272c36c8d9c0f831cfafe326c0536aa957e7da20e863ba105c,COMPUTED,,NOT_REVIEWED,,,2023,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,RESULTS_RELEASE,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Filename explicitly says consolidated financial results; content not yet reviewed
DRIVE:1OZ9yb_YohiX-WADO85ghxlKtbzPCJo1V,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1OZ9yb_YohiX-WADO85ghxlKtbzPCJo1V,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/2023_Rapport_Annuel_ORAC_2.pdf,2023,2023_Rapport_Annuel_ORAC_2.pdf,application/pdf,12443273,2026-08-09T06:34:11.460Z,2026-03-23T20:27:07Z,https://drive.google.com/file/d/1OZ9yb_YohiX-WADO85ghxlKtbzPCJo1V,77e4e3f2c2dfc3ae4a47b64ead0dfcd3fd69fcb8f678a7f79f5fa64eb420b114,COMPUTED,,NOT_REVIEWED,,,2023,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,"SHA differs from sibling annual; exact duplicate ruled out; relation unresolved"
DRIVE:1ERwjmNhPOdQKg_To6wqtLH7QMn6rsI-z,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1ERwjmNhPOdQKg_To6wqtLH7QMn6rsI-z,1PV6XveVgQWSL0zfBpGnvPf_N0Bgv6awI,Orange Côte d'Ivoire - ORAC/2023/2023_Rapport_Annuel_ORAC.pdf,2023,2023_Rapport_Annuel_ORAC.pdf,application/pdf,10816977,2026-08-09T06:34:05.958Z,2026-03-23T20:26:58Z,https://drive.google.com/file/d/1ERwjmNhPOdQKg_To6wqtLH7QMn6rsI-z,16d5e795e10b1e97799db40a28556fe9c4601e6b62f91cd8d4ae23c5f8949d46,COMPUTED,,NOT_REVIEWED,,,2023,FILENAME_ONLY,,,ANNUAL,FILENAME_CLASSIFIED,ANNUAL_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,"SHA differs from sibling _2; exact duplicate ruled out; relation unresolved"
DRIVE:1YMJcPFlEQLbSSPNuVFnzHMKvm2lAo7PO,ORAC,Orange Côte d'Ivoire,NOT_REVIEWED,FOLDER_AND_FILENAME_CONSISTENT,1YMJcPFlEQLbSSPNuVFnzHMKvm2lAo7PO,1h0RRHOoouBIXCnWlgifRzXC3-raGozrK,Orange Côte d'Ivoire - ORAC/2024/2024_Rapport_T1_ORAC.pdf,2024,2024_Rapport_T1_ORAC.pdf,application/pdf,245436,2026-08-09T02:25:29.753Z,2026-03-23T20:26:59Z,https://drive.google.com/file/d/1YMJcPFlEQLbSSPNuVFnzHMKvm2lAo7PO,c20179cf50c34eadc41e2af255cdc3a83e151d7cc6b1add10d8a314aec32f45c,COMPUTED,,NOT_REVIEWED,,,2024_T1,FILENAME_ONLY,,,T1,FILENAME_CLASSIFIED,ACTIVITY_REPORT,NOT_REVIEWED,,,,NOT_REVIEWED,,,ACTIVE_SOURCE,Content not yet reviewed
