duplicate_group_id,sha256,source_file_id,issuer_ticker,source_filename_raw,relationship_status,notes
SHA256:8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,DRIVE:1vBV6P-Of3cz9ixJOLqnVUbTc0hzFpI4E,CBIBF,2024_Rapport_S1_CBIBF.pdf,EXACT_DUPLICATE,"Primary physical source retained; same bytes as sibling _2"
SHA256:8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,8fb042a2d9fe05d6881c4496dedf54a68900159f2a4fcc1c6ae8bfeaf661bc05,DRIVE:1Lxz7zOe-02J79x3Z0UBe-e7Ed0udTOlB,CBIBF,2024_Rapport_S1_CBIBF_2.pdf,EXACT_DUPLICATE,"Duplicate physical source retained; no silent deletion"
SHA256:acdab75be25743dc0837258d686cfc5f2e2c6f76518078e6becc9a94ddb40f86,acdab75be25743dc0837258d686cfc5f2e2c6f76518078e6becc9a94ddb40f86,DRIVE:1VKi74pfo48q5HiJ8oPM_XbMxb0Fu7V6D,SHEC,2022_Etats_Financiers_SHEC_3.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _2"
SHA256:acdab75be25743dc0837258d686cfc5f2e2c6f76518078e6becc9a94ddb40f86,acdab75be25743dc0837258d686cfc5f2e2c6f76518078e6becc9a94ddb40f86,DRIVE:1kaR9scWyHGexWh2Jg_zk8Pjh0CjLZVTh,SHEC,2022_Etats_Financiers_SHEC_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _3"
SHA256:b88401ae19d81d9dcd4a1723cd1929bad8c0269dfa811c06e7c9b878b58b61c0,b88401ae19d81d9dcd4a1723cd1929bad8c0269dfa811c06e7c9b878b58b61c0,DRIVE:1EtMapYq8ecJVPg_wC-Q5qu8GGT1iEOl5,SHEC,2025_Etats_Financiers_SHEC_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling plain"
SHA256:b88401ae19d81d9dcd4a1723cd1929bad8c0269dfa811c06e7c9b878b58b61c0,b88401ae19d81d9dcd4a1723cd1929bad8c0269dfa811c06e7c9b878b58b61c0,DRIVE:1c99UILOdfWJSu9GvCnOAAIZc-lldFAsz,SHEC,2025_Etats_Financiers_SHEC.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _2"
SHA256:ca091608d953102461797fb13924c9bfb14357505a149bc20f924e41cde2ce7a,ca091608d953102461797fb13924c9bfb14357505a149bc20f924e41cde2ce7a,DRIVE:1JSSKmnmRYbAQyFjNCU9gNrUif0udPYaj,ECOC,2021_Etats_Financiers_ECOC_2.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling plain"
SHA256:ca091608d953102461797fb13924c9bfb14357505a149bc20f924e41cde2ce7a,ca091608d953102461797fb13924c9bfb14357505a149bc20f924e41cde2ce7a,DRIVE:1aslXFoEGBrFlTtfY-K6oOH5oPIisbJ-l,ECOC,2021_Etats_Financiers_ECOC.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as sibling _2; no silent deletion"
SHA256:77f20998d8b1def30299a400bbe4584093fb54a6e40d05f7ab5fa7721896e31e,77f20998d8b1def30299a400bbe4584093fb54a6e40d05f7ab5fa7721896e31e,DRIVE:1yktD4BnWUNz8V-E5iJcMxA4K_4zzFyg2,BOAM,2023_Etats_Financiers_BOAM.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as 2023 annual CAC-labelled sibling"
SHA256:77f20998d8b1def30299a400bbe4584093fb54a6e40d05f7ab5fa7721896e31e,77f20998d8b1def30299a400bbe4584093fb54a6e40d05f7ab5fa7721896e31e,DRIVE:1xSUfgOkEPUWQb6q4-FBHYGGC4co8LB2B,BOAM,2023_Rapport_CAC_Annuel_BOAM.pdf,EXACT_DUPLICATE,"Physical source retained; exact same bytes as 2023 Etats_Financiers sibling; no silent deletion"
