ordinal,ticker,pdf_count,inventory_path,status
1,SIVC,53,inventory/SIVC.md,SHA256_COMPLETE
2,BOABF,57,inventory/BOABF.md,SHA256_COMPLETE
3,BOAB,59,inventory/BOAB.md,SHA256_COMPLETE
4,BOAC,74,inventory/BOAC.md,SHA256_COMPLETE
5,BOAM,44,inventory/BOAM.md,SHA256_COMPLETE
6,BOAN,60,inventory/BOAN.md,SHA256_COMPLETE
7,BOAS,43,inventory/BOAS.md,SHA256_COMPLETE
8,BNBC,92,inventory/BNBC.md,LIVE_SOURCE_DELTA_DETECTED
9,BICC,70,inventory/BICC.md,SHA256_COMPLETE
10,BIIC,2,inventory/BIIC.md,SHA256_COMPLETE
11,AGLC,60,inventory/AGLC.md,SHA256_COMPLETE
12,CFAC,94,inventory/CFAC.md,INVENTORIED
13,CIEC,62,inventory/CIEC.md,SHA256_COMPLETE
14,CBIBF,15,inventory/CBIBF.md,LIVE_SOURCE_DELTA_DETECTED
15,SEMC,54,inventory/SEMC.md,SHA256_COMPLETE
16,ECOC,42,inventory/ECOC.md,LIVE_SOURCE_DELTA_HASH_COMPLETE
17,ETIT,81,inventory/ETIT.md,INVENTORIED
18,FTSC,88,inventory/FTSC.md,INVENTORIED
19,MVSC,35,inventory/MVSC.md,LIVE_SOURCE_DELTA_DETECTED
20,NEIC,86,inventory/NEIC.md,INVENTORIED
21,NTLC,81,inventory/NTLC.md,INVENTORIED
22,NSBC,41,inventory/NSBC.md,LIVE_SOURCE_DELTA_DETECTED
23,ONTBF,91,inventory/ONTBF.md,INVENTORIED
24,ORGT,35,inventory/ORGT.md,LIVE_SOURCE_DELTA_DETECTED
25,ORAC,21,inventory/ORAC.md,LIVE_SOURCE_DELTA_DETECTED
26,PALC,98,inventory/PALC.md,SHA256_COMPLETE
27,SAFC,73,inventory/SAFC.md,SHA256_COMPLETE
28,SPHC,124,inventory/SPHC.md,INVENTORIED
29,ABJC,82,inventory/ABJC.md,INVENTORIED
30,STAC,53,inventory/STAC.md,LIVE_SOURCE_DELTA_DETECTED
31,SGBC,87,inventory/SGBC.md,INVENTORIED
32,SIBC,49,inventory/SIBC.md,LIVE_SOURCE_DELTA_HASH_COMPLETE
33,CABC,90,inventory/CABC.md,INVENTORIED
34,SICC,36,inventory/SICC.md,LIVE_SOURCE_DELTA_DETECTED
35,STBC,91,inventory/STBC.md,INVENTORIED
36,SMBC,106,inventory/SMBC.md,INVENTORIED
37,SDCC,92,inventory/SDCC.md,INVENTORIED
38,SOGC,106,inventory/SOGC.md,INVENTORIED
39,SLBC,70,inventory/SLBC.md,SHA256_COMPLETE
40,SNTS,101,inventory/SNTS.md,INVENTORIED
41,SCRC,45,inventory/SCRC.md,SHA256_COMPLETE
42,TTLC,101,inventory/TTLC.md,INVENTORIED
43,TTLS,47,inventory/TTLS.md,SHA256_COMPLETE
44,PRSC,70,inventory/PRSC.md,SHA256_COMPLETE
45,TRITRAF,8,inventory/TRITRAF.md,INVENTORIED
46,UNLC,23,inventory/UNLC.md,LIVE_SOURCE_DELTA_DETECTED
47,UNXC,83,inventory/UNXC.md,INVENTORIED
48,SHEC,39,inventory/SHEC.md,LIVE_SOURCE_DELTA_DETECTED
TOTAL,ALL,3114,inventory/P1_48_ISSUERS_CHECKPOINT_v20_20260818.md,INVENTORY_COMPLETE_48_OF_48_LIVE_REFRESH
